date,district_city,headline,source,url,polarity,sentiment_label,confidence,crime_intensity,crime_types,crime_type,trend_label,trend_score,method,source_class,year
2024-10-30,Other / Statewide,மெத்தம்பெட்டமைன்: தமிழ்நாட்டில் ரசாயன போதைப்பொருள் பயன்பாடு அதிகரிக்கிறதா? முழு பின்னணி - BBC,BBC,https://news.google.com/rss/articles/CBMiW0FVX3lxTE1XaXk2VUhISWk5Z21Sb1V5SXFfdENBUXFkd1o3LXU5cXROSnM1RHh6SXFFbVBELWMxU2hEbTJhSzZtSkZjRmpvSjZ2OVd2THpUVXpsWkYzTzJsSVHSAWBBVV95cUxPSExnWVNBaVpkS010eUlUM2NTb2ozWFB4VjBLMDltYVBfbkQzQVBsSEJPUTBpTTl1bzdzd1BobVhtSDQzV0twR1RtNUhvaWdKN0x5X0I0aFJtVUtSVk9Kako?oc=5,-0.8851,negative,0.885,7,rape or sexual assault,rape or sexual assault,isolated incident,0.2351,sentiment + crime_type + trend,news_media,2024
2024-07-30,Other / Statewide,மகாராஷ்டிராவில் பள்ளிவாசல் மீது நடத்தப்பட்ட தாக்குதல் : தமிழ்நாடு தவ்ஹீத் ஜமாஅத் கடும் கண்டனம் - TNTJ,TNTJ,https://news.google.com/rss/articles/CBMiXEFVX3lxTE9oSURoUXVKQ01Nd2NpbmRuQ0ZmRGFVNDg0UldEZFZnYXo3RWItSW5wWi1Wek43bGhDUUptUXRvMmhsdW5fc043dUFiTVJjdnhlS05JS28yUzhZdm5N?oc=5,0.6066,positive,0.607,5,rape or sexual assault,rape or sexual assault,isolated incident,0.2657,sentiment + crime_type + trend,news_media,2024
2024-03-25,Other / Statewide,தமிழ்நாடு மீனவர்கள் கைது: தொடரும் இலங்கைக் கடற்படையினரின் அட்டூழியம் - வினவு,வினவு,https://news.google.com/rss/articles/CBMinAFBVV95cUxOd0xXV0NESzNBMURhelBmeHVUR3NmNDB6bHA1dmRSS0FQamRBTlpqS1pvYnk4UVk3d0FCY2xoSXFkY1kxZlFIaFBXNk01bVUyNGlORkZJRko1ZVAzNTdWRDlBQkRqVmJNUm56ME90UmZqbHZhQTd5R0E0U3JOOU93c1JsaUF0VjZoLTFRa2lJODJXcXUxc2l3R09pb2s?oc=5,0.7229,positive,0.723,6,rape or sexual assault,rape or sexual assault,isolated incident,0.2536,sentiment + crime_type + trend,news_media,2024
2024-09-06,Tamilnadu,"ஆம்ஸ்ட்ராங் கொலையில் தொடர்புடைய சம்பவம் செந்தில் விரைவில் கைதாவார்: ஆணையர் அருண், தமிழ்நாடு செய்திகள் - தமிழ் முரசு Tamilnadu News in Ta - Tamil Murasu",Tamil Murasu,https://news.google.com/rss/articles/CBMivwFBVV95cUxOY29DMS1JVUM2cThMa3lVQ09fcmZyY2d1NWJKNTRhNlJVREktVThCaVlfSVl5bGFtcE9ic3N4TzE1OEkwNjFrR05YZWN3aUNlMXhFYS1YZmlxVHB4MHF0RWJLXzhMdC1MazBtblRSdm9MRFB5TVBMLUFMWGhWUFRQS01rYkVSV3N0c1h3NktJbXBzV0hmY1JWWVdyV2Z1VzFNMkYwZ2pkNUlSaGJndTJEeG02eW1FRjltNUdoaVlzTQ?oc=5,-0.5626,negative,0.563,5,rape or sexual assault,rape or sexual assault,isolated incident,0.2393,sentiment + crime_type + trend,news_media,2024
2024-07-02,Bharat,ஆறு ஆண்டுகளில் அதிக கொலைகள்.. தூத்துக்குடி முதலிடம்.. மதுரைக்கு பிறகு இந்த மாவட்டமா? பகீர் தரும் ஆர்டிஐ ரிப்போர்ட்! - highest murders in tamilnadu - ETV Bharat,ETV Bharat,https://news.google.com/rss/articles/CBMigwJBVV95cUxPTkUxTGtONU93dkZqNTIwakFVNFFNSGl1LWFoX24tTGVPQ25raFhUaXVyWnJmVnIwdzRJai1JZkw3X2VoWEo1d0UxLWU5MWo5dnZ5Q0RGNjdwQm1VSm95cHZQcUFOVlozSTlCZnFUakFMWXkyOUNjWVZwZkUtc3dMd2FXSlZ0aTUtczJBWTdfbVZhTGNiTG43UFF6Wnl4X1pPR2pRekdDNVZENVdGOFhfU05WM01yQkYyVTNrNWF4eXVoTEVTc2JhcVdwSXVodVRmenVRQzJ4UENjbURXS0NxeUF0NmJhdFcyMldsaDZuY1RiOGc0YUJXNHAyV0VxVU45SkVn0gGIAkFVX3lxTFBlWW5zVWxMT1ozVHRLaFFvd3dreFBUYnliZlFEV04wMFFtOVUzaDlyR00yZmtQQzdUVVRSdDNhWlpYaURkZXBOMFEwMVZrZmhGQ3k3Yk1UODQtY3lWbl9LUUpLU3l1RkRxS1FtQTdzcnM0QUluUk1rQllmZkMwcVc0RC1FRWxMaFpZSExnLWd6WHVUNGpmd0lVaTY0d1N6b0pTSXFYUFJSQzJBT1NFYms2WVVCVkdBdjZfQ0VJTnlrVDQ1T3cwd0NMcHoyVjZmRGN6NV92REhlTHBQYkNUaV9YVldUc19KQXdaY0g5ZnpHR0pXa1dLbmhfRE5oLXJrdEtGVDdIeG4wdw?oc=5,-0.7072,negative,0.707,6,homicide or murder,homicide or murder,rising crime trend,0.269,sentiment + crime_type + trend,news_media,2024
2024-11-29,Puthiyathalaimurai,அதிகாலையில் தமிழ்நாட்டை உலுக்கிய சம்பவம்! பல்லடம் அருகே ஒரே குடும்பத்தில் மூவர் கொலை.. நடந்தது என்ன? - Puthiyathalaimurai,Puthiyathalaimurai,https://news.google.com/rss/articles/CBMipAFBVV95cUxPaGZEZ3VHay02UHNObVEtajg1MWpWWjFYclVLN1kzd01WTGlMSVB5ZDhYckljaXhlXzJiNE1uSUFjWHIxaEJ6ODFnNVRHRE9uMlplVUJMNnVaczJ3TEpGb3N6RldSTVI0OHNyMGFkZUxJWWQ5XzFDbHRHVTFMNWFrQ2Rxb0l5REphd0FrdWczNzZLLUNMbHU1eUh6SURwaWZ6XzdJStIBsgFBVV95cUxQTnRId19hSndJcmo3UFRZNVdLYk5UYTJQX043NkJSaVdjOExFdkszaHF2QllzelF3VXBwdThobDVPemxsanl2M2NWZXBBTnJ0b2h5aG05WXNLelhfRFVuamlRS0pFVDFwMkJ6X0JHVXZDUnJFdVRBNUtTeU5FTEpnbXlTQURlZUZsVEkzQXQ2YnFwdmtOS1M2QmpnZW84NXZrMmdKNVBqYUt3QUN2azFvMU5B?oc=5,-0.6003,negative,0.6,5,assault or violence,assault or violence,isolated incident,0.2745,sentiment + crime_type + trend,news_media,2024
2024-12-25,Tamilar,அண்ணா பல்கலைக்கழக வளாகத்தில் மாணவி கூட்டுப் பாலியல் வன்கொடுமை: திமுக ஆட்சியில் இன்னும் எத்தனை கொடூரங்களை தமிழ்நாட்டு மக்கள் - Naam Tamilar Katchi,Naam Tamilar Katchi,https://news.google.com/rss/articles/CBMi2AJBVV95cUxNV2xQa0JoOFF1R2ZFNVRYcFFDdnJLVzlFU2tHa0REZGh5UWJuejhrX3M1b1BleHBHZ0pxdVIyU3ZsVmdvQjJtdFNSU2dvUjFJcXhCZDRhM2F6TjA5d3lSVENVMFIyZWZxZFRVVkM4SVVDazVPaEx0YVpHc3VDNzJ3ekhLQ251ZTZpREc4Z3gzb3VXelhfajZ3R3hKaTc2VDRhVmlwMXl1TmlPc2lHc1FrSFI5bFIzcEItQUdxRFpjWGVFUDJ3VkJSajc4QWZiNjZZX2lwTXQyS1RiTzU4UmJaYmNNam04LVJIQ09DX2oyV3NYOGNBRXhUU0xYLWp5OEx5TVFLTTdBYjV2NkF1aUc3ZjdQRkdnSkdTSklrMUl1MGJQcFlPUHFDeTJuc1czN0QzeXhOMEh0QXhnc2p5N0lwTjJJaE5HMEFfMzFkMWV3aGpSVXNUNTVaS9IB4AJBVV95cUxQUXUwNVk0N1dTb1JrYkgtVkZzX2FobmUzMzBfWVBxZ0JuYXFBZ1NiUnlMZXd6TE94UmZELXdhUW5qbThhNi1uZ0NWNUJvUVQ0d0NSYS05TC11Zy0yTDlyMk1wdW45ZWRoV2JjdUhFbHBxUmVuc1RSMWRvUm96Yjc5UHFZc3VwaVJxNFgwdE4yczJ3bTB3UXl6XzBJeWdFZ2wyRzU2NTZLME51S09EeTR1bVR3bUZQOW1qOEoxcUx6QXJaTjAzbzFIREFBX2doYmxRT0hXa01vV1lMcVM4SkFlbTlEdzJqUjZtNW9BUlJSNUNYWFhSS05ZSzlkTUJ2SDFJNk5nbkd6VklBaHgtM0w5REZBZGVENmk5cEMyRU1fTUROVHh2UnVnemVXc2FCWU41WmNaYjNXbDVyQXBXRU5SNVl3UmQ2RjRvV19VSlpZSTg5a2ljeml2MkFyeW5vMjJS?oc=5,-0.5407,negative,0.541,4,rape or sexual assault,rape or sexual assault,isolated incident,0.2837,sentiment + crime_type + trend,news_media,2024
2024-07-07,Other / Statewide,ஆம்ஸ்ட்ராங் படுகொலை: தமிழ்நாட்டில் தொடரும் முக்கியப் பிரமுகர்களின் கொலைகள் - என்ன நடக்கிறது? - BBC,BBC,https://news.google.com/rss/articles/CBMiW0FVX3lxTE11SVJvSFZRUk13TzlIVk5uSFRtcUFnWmhpeHdfWHI4UTZvejNKUGkzYkVkbkdrNmYxRTlLMi1BN0FHNWFYSGxBMjBHX05fTFd5YVR5cy1YN0VEeFHSAWBBVV95cUxQLUdwb29zT3BNaHlEemxuY1BmU2JfNEwwbFIzRGtDT3NuWm9QMzBudXJxeFhidEN5SUVNc0hZV082Y0pQOGRjS2JxS2x3T25zTUxuTzBCa09qbVIzdmZldHg?oc=5,-0.8575,negative,0.858,7,rape or sexual assault,rape or sexual assault,public safety concern,0.236,sentiment + crime_type + trend,news_media,2024
2024-06-28,Other / Statewide,"'முற்போக்கான' தமிழ்நாட்டில் சாதி ஆணவக் கொலைகள், தாக்குதல்கள் தொடருவது ஏன்? - BBC",BBC,https://news.google.com/rss/articles/CBMiW0FVX3lxTFAyZnY1RUVpVWNwNDJpbl9JeXFHZkxIeVo3emR1WUJZb2ZJV1dyMnluRks4Yk5sdkQwUFVtTWdlSGRsY1doRXlFUFBGaU40OFlLOTB5SWVNVEFlMU0?oc=5,-0.8604,negative,0.86,7,rape or sexual assault,rape or sexual assault,public safety concern,0.2354,sentiment + crime_type + trend,news_media,2024
2024-07-11,Other / Statewide,தமிழ்நாடு முழுவதும் 68 கொள்ளை சம்பவங்களில் ஈடுபட்ட ‘ராட்மேன்’ காவல்துறையிடம் சிக்கியது எப்படி? - BBC,BBC,https://news.google.com/rss/articles/CBMiW0FVX3lxTFBtS2I4a2JUcG04RTlUMkZSdzBFR3VheTZ0WWNzb29wOEVCRlVIbElYa3FYWHJRTlgwSEdxQ1kyWHFuT2laQmFCWUdqTjI1VG0yb1VqUlFZMjl5SzDSAWBBVV95cUxNQ2xYZktCdWUtcnBOVS1LZHJBd01mbzMxdXVrcUlYRi1LN19iQUh5Q0pIUnNRVllZZVluN2dNZXdFWkVtQXk5alE5bHJRUk9obEFHMGdkWS1CcXBLZ1Yxejc?oc=5,-0.8099,negative,0.81,7,homicide or murder,homicide or murder,public safety concern,0.2404,sentiment + crime_type + trend,news_media,2024
