date,district,headline,source,url,lang,year,is_tvk,priority
2026-05-23,Daily,தமிழ்நாட்டில் 3 நாட்களின் 844 ரெளடிகள் கைது: காவல் துறை வெளியிட்ட முக்கிய தகவல் - Daily Thanthi,Daily Thanthi,https://news.google.com/rss/articles/CBMi3AFBVV95cUxPcmR5ekdGNDAtTWtGRG1GNDE0d0l3ZGpRUm9pYUpvblBCb3F2T1pVOG5Rc00zdUpHTEJia0lhemk3OWRpbFVvTVNIQWh6R3VTTXFsTGNRZnhSbVVTOFBqeXpuLTJ2XzN4QWFWUDQ4ZXJsU2pzTmNYMVRocXdmdGlGMklELXZtU1pGWGI3RkdaSFZwUDVOTE1NZTJfcGpBeTktVW8yZkV1WThmSWJEV2oxWGVwcG1rRHhWemN2UzZTTklxMFFoTWJoWTZfbi1VRFZfbDJqd0ZvUENMVlBQ0gHqAUFVX3lxTE9IZk9vMGE1cDBWREk2SGtiWE1RcktyS3FiTXlqRHo1dXpFTFFiSVBnUWd5NkozVjYzZzd1a1U0emtiMnUwak04WFM2Wk5vOHhNaDlkV28yU1RmdDAtcGV4NnRPdWhTUDlFdEVtcm9mTTFBSE1kUEY3Yl91cjlmSmZSenVSZDV2WE9ndmxyVzVpSEZtWHBvSUpXdVFMX2U1NjRGd0owMEYxLXdFeGtyVEpwR211bUY5Tld6MGUtelNsOG5ZbTMycUVsY1VKM0poT3BMaHJPVzFldjRrLTltUDVjdU54a04xZ0g4Zw?oc=5,ta,2026,,
2026-05-20,Bharat,சென்னையில் ‘ஸ்பெஷல் டிரைவ்’ மூலம் காவல்துறை அதிரடி வேட்டை - ஒரே இரவில் 75 ரவுடிகள் கைது - ETV Bharat,ETV Bharat,https://news.google.com/rss/articles/CBMisgFBVV95cUxQTFNCWVhrcVRYWExYdFZHVDZ2S3hDVlBSLXE0bGZsMEtiNnNERGxib0RZOEtiV1NNU3lWcHk5OFJ6RWR5cEJIempDSkJVT1VvbFBJUUdTaGhFSjJ4cnFtaFlrTW1qRHdZa3JRNnVaaHp4UWtiSG4tc3lJQTFzZjlUUHlCd2E2TXd4d3B3WGJwNEd0ck0xOXRVaDd5WW9MUURFemR4WUd5emxmQXFnbGg2MzFR0gG3AUFVX3lxTE9aZHQ3RnhhU0VDc2N6LWFWOWZPd2Z0MTd2RnJPMHNsQzFXZDhtWWZfMGVUakhwek5uWVBIcjN3Y3F3ZTFtNmppTkpfYW4yWjFBSWhYNy1LTjczUDh6ZndCbVNoU2NsZzdSMEVwTEt2MDRmbE5jMm5TVTZ4NGNYU2hRSkZDc1J2R2xvZFRSWURQcjZuelNkeV9fanJVcUJsNThLMnNiak5lU0ppdEI4YjYtZ2QxNzF5OA?oc=5,ta,2026,,
2026-03-01,Dinamani,கிண்டூர் டூ தெஹ்ரான்! ஈரானின் முதல் தலைமை மதகுரு ஓர் இந்திய வம்சாவளியா? - Dinamani,Dinamani,https://news.google.com/rss/articles/CBMivwFBVV95cUxQRG01R3Q0YlV2VDdJQ1hOQl9LeFIwMFozV2pPM3lqS0Vvd0gxZWRFMXI5WnFEUks2RGRIWXlqM1lkQW43Y2RIVFFuR3NXN1JsMGI1YVdUQkd0aUpLdDlGbldKWDVNeXBVUmVSd3VmVl9tT25icmJEOVZFWERfRUVIWXMyR0EzS0NUQkh1WW5FU3BNbTJ4TE51OGpuaWNXMXRkXzFOaVhFZGo3OGVzUmdfUVZiVFF6UGZDSUFVSkdiNNIBzAFBVV95cUxPSkFTZGpWU2F2dHpCVVg4RTZEOWxUYWNjRG1BWmJNeWp0YjVUM1lZSlBOdVZKMVJYTzRTSVl0TkwxTWZyUk5QbkY0dTNPUVdvVWttZVczSlcxNzlEZC1ZaEtFWDdNN3p6eFBoQk9YYzhidmZEWWtVVmFnVERjR2NTeFFiNTVPSTBfX0JlQnRxT2t3dzc0cWlOREgwUURvd3BsTjZPTnpoeVNib0Z2V04zcHpKUnZpWlNndjVSVm1tUnMxU2szbG1iWHUtdGE?oc=5,ta,2026,,
2026-03-01,Dinamani,"ஈரான் மீது அமெரிக்கா, இஸ்ரேல் தாக்குதல்: தங்கம், வெள்ளி விலை உயர்வு! - Dinamani",Dinamani,https://news.google.com/rss/articles/CBMioAFBVV95cUxObkFVLVFyNG9icFlrVUdDalc1aDZ6M0xwY3FsaXhXZmRBakZDN19oVlp0aUdnOWhuSE5MQ0xRWEJuZEd6ZUZnQ2g3X1VDY2FxMldlQUdvVVItUWJxUVZTNkc1emg5TkNWUUdXU05ScThCUDI2d01QZkttMXJrOEdPZFZCYWpVdlBGRS1jSVNrVW5JM0JOcGllS21paXR4cmNh0gGuAUFVX3lxTE10ZUR3QXVCVzdTSU51dVRPT0tPVUJSZml4UmlSUzFpc1N2eEZsTnRYbF9BX3BEcWZnekVZQkpIN2swYTFiUWxKOVhzV09HYXhoUWk0Q05mMk16X0xmS1JyZjZ1alowYS1PbTZXNE5sZTVJY1lfWThNSEhFZHlZR2ZUM2pJdjRUVWdBNnFNOGloMm5lRzBycjVqZkg0ZERmQ1VYLWRSUUtyMUdHeXVnQQ?oc=5,ta,2026,,
2025-10-13,Vikatan,"""ஆர்.எஸ்.எஸ் ஷாகாவில் பாலியல் தொல்லைக்கு ஆளானேன்"" - இன்ஸ்டாகிராமில் பதிவிட்டு தற்கொலை செய்த இளைஞர் - Vikatan",Vikatan,https://news.google.com/rss/articles/CBMipAFBVV95cUxNUjVXYWFUQ3NyMmxBd0tWNE5qV1FnYktlSzNwa1h3dWtxY3JMSjFmbjVnV282OVliemhpSHlRNTVaa0hsT2dTOHdkYldoQmNWTlI0U1NjNm8yNXU3LTgzVUNjYmNQNndmbl92NTlMc3dCalhfXzdMdHFTXzFETHZCZWpTS2J3ZVlMcXRpUEl2azRDWk5aVkdPNVV5b19LczJUTTFSONIBsgFBVV95cUxQQ0VaTjNEZWFGc3VPSDFQUVBwNW41Yk9kSU1hV1g2dUJqajF0SktSMTR6TTRJRWRJMkFacmNWdUhnVlU5NXdFNEk1TV81U3l3TThQNlpkbU5QcmF5QUoya2tDcEZOakxlM005bURWbkwtRVQ5MUdERjJUMC1lTlQtTHNyU0Ribnp5NmhoZGswWFNFNW5mV19PWjBudTR2U2lXY0NKc1JzY1VZU0tyckhTbFp3?oc=5,ta,2026,,
2026-06-02,Dinamalar,லஞ்சம் இன்றி நடந்த வணிக வரித்துறை பதவி உயர்வு! - Dinamalar,Dinamalar,https://news.google.com/rss/articles/CBMiwwFBVV95cUxQY0JWYWZha3NKNnc1UFYwU0pWd3hueTVxckpMbXc4Z0oyMF9mUXNJSlVhNUNBcEQ1OU85NG40UkotLTJVUWxXT01RZ1JKaXIzd1ozMlhKb3c0WWpjSmdWd0F1aWc1ZEgzUkNQbFZZdjAtM1VNYmhvZWwweDd6TWdXNHhSOFNMWTA1ZmVPVDJCa1RDUWF3eENPb2JyYW5Td2pKZE5iQW5xNGxWb1YyRXVqWDNiZ1JnVU9BVC1WNDZDNWhPUFU?oc=5,ta,2026,,
2026-07-12,Dinamalar,﻿ இந்தியர்கள் மீதான தாக்குதலுக்கு கண்டனம் - Dinamalar,Dinamalar,https://news.google.com/rss/articles/CBMilAFBVV95cUxQS2Q4ODRHdjhmU1YtUXd6MmxFYzFfcFRoMHgySXdDY0laN29OQUNkX05ZMkxZd2pwdVlCUUZyakRxOEl2cnBzbklVb2xJV0pDTW1xVy1KQTNHZHJKc24xWEdndEdVTGJjNFdyNDFUR0lIWjZud1FHU0xIQnhxVGxXZkpsNDR1ZkI4cklyODZEeTRlMDFH?oc=5,ta,2026,,
2026-07-12,Dinamalar,அமெரிக்கா கடும் தாக்குதல்; ஹார்முஸ் ஜலசந்தியை மீண்டும் மூடியது ஈரான் - Dinamalar,Dinamalar,https://news.google.com/rss/articles/CBMi4wFBVV95cUxOVVBzWWlOOWtMd2JxbHdQV1hKS0o3M1BRZnhKYXJ3OXZ1SGJOUFVtYXlMTG5hVDNyQThjeTk0eUJDUjFSWjZRR0xLRktRaUYxV0gtVVplMGIwNW1veWtNMmVFVjFEV3cya0lMODZCSVowTzVGbjZfMWhOY1dGM3k3UkFiTkFVNHRCSjVYV0E3bTlCY0tfQ2dUZm5XOWJpemVfSW9NdmpRMW1qTkhDVXk4d04yYW9hcGxBaGpSckVjX2FJX3dYa3pwMUlOczUzS05VdXE5WHdobXh1NFNSTFVSalVpQQ?oc=5,ta,2026,,
2026-07-12,Palani,பதிவுத்துறையில் திருட்டுக் கும்பல் ராம ரவிக்குமார் கண்டனம்! Palani | murugan temple | 110 crore - Dinamalar,Dinamalar,https://news.google.com/rss/articles/CBMi_gFBVV95cUxQMGtlZWR6akJLTDF6VGs3Z3dGRG95OENud0ljdG1melpYc0ZIUXVsV2RySjlxaEl2dTZFSW1yWlRrYWJWSzV4OEw1cDFHUTNzNVNlNFFTV1RfbEh0RV9GQ0VlMFRXRjBpV3lkOG0tdVNGZWxRUWJmbVgxLW9BZkRmTlRHdlNEQUFfSEhlV05vN0ZpRTVDdThaTEJkbzJETUtOLS1rNS1zc0ZZOFdmVFhoQ1U4SmZMNWRvbkt3ZkZwRVNGMGdYUFFISC1LNF9VY3F2dVVuTS1PbWhKbGIxZ0JrUW9NaS10OUpuTVQtYjYyaUo2TkJxY3RqNlBLMjE0UQ?oc=5,ta,2026,,
2026-07-10,Dinamalar,மதம் மாற கட்டாயப்படுத்தி கேரள மருத்துவ மாணவி கொலை - Dinamalar,Dinamalar,https://news.google.com/rss/articles/CBMirgFBVV95cUxOZEJ6TXBnQng0N0dXQXRhZTZlR2d2UmR2QW5Oc1lZejVkNEd4cXdkLXVSR0pzVGJIQ3dxY1dvcXRKQ1plUTRaZXMwZzBwSm50dWMySnotd19xaVJjUnBmMTAtb3RrSml2MXVpZS1lLVFnQVBXY1VkcmpwYnFvblhDM1lsZHhfMTc4QlI0dlhsSTEyQlNyS180Ujl6aHRWQ05GYkxMR25YbzFzam5WTUE?oc=5,ta,2026,,
